V_kmh,V_ms,CL_required,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.214096979591836,,,,,,,False,,,,10.0,,,
31,8.61111111111111,2.0735559642379324,,,,,,,False,,,,10.0,,,
32,8.88888888888889,1.9459836734693874,,,,,,,False,,,,10.0,,,
33,9.166666666666666,1.8298322145387083,,,,,,,False,,,,10.0,,,
34,9.444444444444445,1.723777925287762,,,,,,,False,,,,10.0,,,
35,9.722222222222221,1.626683495210329,,,,,,,False,,,,10.0,,,
36,10.0,1.5375673469387754,,,,,,,False,,,,10.0,,,
37,10.277777777777777,1.4555787301918577,,,,,,,False,,,,10.0,,,
38,10.555555555555555,1.3799773418508678,,,,,,,False,,,,10.0,,,
39,10.833333333333334,1.310116555971501,,,,,,,False,,,,10.0,,,
40,11.11111111111111,1.245429551020408,,,,,,,False,,,,10.0,,,
41,11.38888888888889,1.185417776105088,,,,,,,False,,,,10.0,,,
42,11.666666666666666,1.1296413161182843,,,,,,,False,,,,10.0,,,
43,11.944444444444445,1.0777108067239876,,,,,,,False,,,,10.0,,,
44,12.222222222222221,1.0292806206780232,,,,,,,False,,,,10.0,,,
45,12.5,0.9840431020408164,,,,,,,False,,,,10.0,,,
46,12.777777777777777,0.9417236680683616,,,,,,,False,,,,10.0,,,
47,13.055555555555555,0.9020766326992546,,,,,,,False,,,,10.0,,,
48,13.333333333333332,0.8648816326530614,,,,,,,False,,,,10.0,,,
49,13.61111111111111,0.8299405587807801,,,,,,,False,,,,10.0,,,
50,13.88888888888889,0.7970749126530611,,,,,,,False,,,,10.0,,,
51,14.166666666666666,0.7661235223501165,,,,,,,False,,,,10.0,,,
52,14.444444444444445,0.7369405627339692,7.443697387161051,2.911841817867815,0.7369405627339692,0.0605316144863622,0.0,12.174473933782194,True,1.4504117464165667,20.95039189268374,34.593010349116604,10.0,44.593010349116604,133.81828123470063,115.97584373674054
53,14.722222222222221,0.7093938346858858,7.027814021655981,2.69478935093695,0.7093938346858858,0.05735560951434204,0.0,12.368342707760755,True,1.427677128393293,21.018579945790144,34.7056015616762,10.0,44.7056015616762,133.4812594293667,117.90844582927392
54,15.0,0.6833632653061225,6.634702062131937,2.4845464245865507,0.6833632653061225,0.05434470299901229,0.0,12.574606679119077,True,1.404258634134634,21.063879512019508,34.78039960704976,10.0,44.78039960704976,133.25830167581984,119.93247150823785
55,15.277777777777777,0.6587395972339349,6.262727029197343,2.2809026472296736,0.6587395972339349,0.051487527342709304,0.0,12.79415872603976,True,1.3801610858602948,21.085794367310058,34.816585126621355,10.0,44.816585126621355,133.15070711300913,122.05481485359171
56,15.555555555555555,0.6354232403165349,5.909520218256785,1.819938951854804,0.6354232403165349,0.04903305595644832,0.0,12.959078889166616,True,1.3625968443452827,21.19595091203773,34.99847415816344,10.0,44.99847415816344,132.6124965710071,123.77166346627331
57,15.833333333333332,0.6133232630448302,5.573469493687107,1.0267461613874167,0.6133232630448302,0.04704647007465743,0.0,13.036541574140536,True,1.354500340414413,21.44625538989487,35.41177360560557,10.0,45.41177360560557,131.40557010227405,124.83529159716036
58,16.11111111111111,0.592356504647043,5.253450440767623,0.11556809141847743,0.592356504647043,0.04521753758934423,0.0,13.100149548759047,True,1.3479235434890673,21.716545978434972,35.85807385500099,10.0,45.85807385500099,130.12670394461497,125.78914714646113
59,16.38888888888889,0.5724467916209863,4.953203959492683,-0.43635823103713545,0.5724467916209863,0.04360358142125588,0.0,13.128435164317256,True,1.3450194009407903,22.04337351541851,36.39772716684171,10.0,46.39772716684171,128.61319647279177,126.46964319824524
60,16.666666666666668,0.553524244897959,4.667506902425614,-0.9741147888470794,0.553524244897959,0.042089591008513165,0.0,13.15109583236391,True,1.3427017964955377,22.37836327492563,36.95085783269454,10.0,46.95085783269454,127.09799725628422,127.09799725628422
61,16.944444444444443,0.5355246658512909,4.394661812709257,-1.5616879773604184,0.5355246658512909,0.04065319200739327,0.0,13.173004121149928,True,1.3404687220623566,22.71349779050104,37.50422751785518,10.0,47.50422751785518,125.6174515785375,127.71107577151312
62,17.22222222222222,0.5183889910594831,4.135738164928375,-2.05600725151517,0.5183889910594831,0.039293080041611986,0.0,13.192882576537677,True,1.3384489627310958,23.05106546925776,38.06161480991994,10.0,48.06161480991994,124.1606222262914,128.29930963383444
63,17.5,0.5020628071636818,3.8927364050618936,-2.2526932738121914,0.5020628071636818,0.038006426560004136,0.0,13.20994506997469,True,1.336720168514208,23.39260294899864,38.625556984930675,10.0,48.625556984930675,122.72065082666957,128.85668336800305
64,17.77777777777778,0.48649591836734685,3.663828050215548,-2.223029907315529,0.48649591836734685,0.0368014570307498,0.0,13.219474380072796,True,1.3357565885235116,23.746783795973542,39.210375720905745,10.0,49.210375720905745,121.26223205129733,129.34638085471715
65,18.055555555555554,0.47164196014974047,3.447105696611511,-2.0610792139945615,0.47164196014974047,0.03566691894395232,0.0,13.223512826854703,True,1.3353486498791463,24.11046173392903,39.81087592805619,10.0,49.81087592805619,119.80034257215019,129.7837044531627
66,18.333333333333332,0.45745805363467706,3.240223578616522,-1.9005661067892534,0.45745805363467706,0.03458548320377124,0.0,13.226880507622784,True,1.3350086583018208,24.47515873553338,40.41305879964232,10.0,50.41305879964232,118.36933013162731,130.20626314479006
67,18.61111111111111,0.44390449579698216,3.042597300114058,-1.7415269008481538,0.44390449579698216,0.033553963461222525,0.0,13.229569624762554,True,1.3347372968919937,24.840944136600992,41.01703882204498,10.0,51.01703882204498,116.96798045874517,130.6142448455988
68,18.88888888888889,0.4309444813219405,2.8536851242442127,-1.5839945897621273,0.4309444813219405,0.03256940614187398,0.0,13.231573196168348,True,1.3345351862704788,25.20788685177571,41.62292978621377,10.0,51.62292978621377,115.59514395468548,131.0078298153102
69,19.166666666666668,0.41854385247482734,2.672984292679612,-1.427998983439163,0.41854385247482734,0.031629070401544154,0.0,13.232885037759242,True,1.3344028871719176,25.576055337461757,42.23084472645904,10.0,52.23084472645904,114.24973176773193,131.38719153289173
