V_kmh,V_ms,CL_required,mass_kg,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,rho,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,Cma_per_deg,Cma_per_rad,Cmde_per_deg,Cmde_per_rad,elevator_margin_up_deg,elevator_margin_down_deg,elevator_authority_score,Cma_fit_points,Cmde_fit_points,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
62,17.22222222222222,0.5183542604557676,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,4.394579937036082,6.960911050317613,0.5183542604559223,0.040874107468134246,1.5217991797267238e-13,12.68172671073087,True,-0.005915246043495655,-0.33891863307375963,0.009252361697650884,0.5301212758038931,46.96091105031761,33.03908894968239,33.03908894968239,9.0,9.0,1.3923971398203714,23.98017296357306,39.595744831493185,10.0,49.595744831493185,120.31999963454004,124.3306662890247
63,17.5,0.5020291703683473,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,4.151860171537227,6.804023408704475,0.5020291703684248,0.03896764629686838,1.174257089134323e-13,12.883230527802501,True,-0.005930432820530177,-0.33978877130224394,0.009238705483381146,0.5293388323621108,46.804023408704474,33.195976591295526,33.195976591295526,9.0,9.0,1.3706189578689982,23.98583176270747,39.60508856587405,10.0,49.60508856587405,120.29733586858794,126.31220266201734
64,17.77777777777778,0.4864633245097583,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.920601865405349,6.660737245772039,0.48646332450998236,0.037399289684154825,1.7787334105623387e-13,13.007287801941466,True,-0.005944302969805243,-0.3405834723169217,0.009226021734396376,0.5286121070768801,46.66073724577204,33.33926275422796,33.33926275422796,9.0,9.0,1.3575466514527728,24.13416269249374,39.85001063776056,10.0,49.85001063776056,119.70629341209857,127.68671297290514
65,18.055555555555554,0.47161036146555524,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.7002048629567694,6.53718391935108,0.47161036146568086,0.03640054122981229,1.2240382318839949e-13,12.956135967545142,True,-0.005956262973798771,-0.34126873006871045,0.009214530855635741,0.5279537282209992,46.53718391935108,33.46281608064892,33.46281608064892,9.0,9.0,1.3629063514181727,24.60803134505034,40.63245629729674,10.0,50.63245629729674,117.85641930862828,127.6777875843473
66,18.333333333333332,0.4574274052323165,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.4897277750572857,6.421795815177686,0.4574274052324167,0.03546524892578299,9.430824177147912e-14,12.897904824795129,True,-0.005967432581503367,-0.3419087014490006,0.009203557173271303,0.5273249825357997,46.42179581517769,33.57820418482231,33.57820418482231,9.0,9.0,1.369059567415776,25.099425402622558,41.44383967409298,10.0,51.44383967409298,115.99756234768674,127.59731858245542
67,18.61111111111111,0.4438747554448586,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.2885850452954233,6.313826297205677,0.44387475544494215,0.03458778662228806,7.233189741606694e-14,12.833280148632387,True,-0.005977884067542076,-0.34250752748865854,0.009193070158041518,0.5267241208234438,46.31382629720568,33.68617370279432,33.68617370279432,9.0,9.0,1.3759537542617346,25.608028204315616,42.28363790186273,10.0,52.28363790186273,114.13436859923243,127.45004493580954
68,18.88888888888889,0.4309156092543188,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,3.096233577199869,6.212615757514705,0.430915609254379,0.033763169809242044,5.5985598101937484e-14,12.762889612823729,True,-0.005987681282185795,-0.34306886653872737,0.009183041494426497,0.5261495207241466,46.212615757514705,33.787384242485295,33.787384242485295,9.0,9.0,1.38354248416129,26.133580256379922,43.151422507954464,10.0,53.151422507954464,112.27093685229113,127.24039509926327
69,19.166666666666668,0.4185158112144445,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.9121691094485405,6.117579358822378,0.41851581121449655,0.0329869665363082,4.321543123353422e-14,12.687308205616398,True,-0.0059968808378822415,-0.34359596225352923,0.009173444891661608,0.5255996758880549,46.117579358822375,33.882420641177625,33.882420641177625,9.0,9.0,1.3917845861256355,26.67587123407468,44.04684620693446,10.0,54.04684620693446,110.41088275812032,126.97251517183837
70,19.444444444444443,0.4066436279983614,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.7359229441831037,6.028196787777492,0.40664362799839515,0.03225522281360408,3.3597690601849806e-14,12.607063059161,True,-0.006005533101140672,-0.34409170042147347,0.009164255913161027,0.5250731862019351,46.02819678777749,33.97180321222251,33.97180321222251,9.0,9.0,1.4006434263982024,27.234733291076154,44.96963185317012,10.0,54.96963185317012,108.55739430708705,126.65029335826823
71,19.72222222222222,0.39526954516801643,1.8,0.18751256281407033,0.23281086279830468,1.0,0.032,0.0,0.007,1.225,2.5670589901995013,5.944003644824491,0.3952695451680528,0.03156439981327623,2.6162448943378713e-14,12.522637766164632,True,-0.006013683025995911,-0.3445586567190274,0.009155451822358022,0.524568748956473,45.94400364482449,34.05599635517551,34.05599635517551,9.0,9.0,1.4100863036789593,27.81003543366836,45.919563151567985,10.0,55.919563151567985,106.71327999873111,126.2773813318318
