V_kmh,V_ms,CL_required,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.214096979591836,,,,,,,False,,,,10.0,,,
31,8.61111111111111,2.0735559642379324,,,,,,,False,,,,10.0,,,
32,8.88888888888889,1.9459836734693874,,,,,,,False,,,,10.0,,,
33,9.166666666666666,1.8298322145387083,,,,,,,False,,,,10.0,,,
34,9.444444444444445,1.723777925287762,,,,,,,False,,,,10.0,,,
35,9.722222222222221,1.626683495210329,,,,,,,False,,,,10.0,,,
36,10.0,1.5375673469387754,,,,,,,False,,,,10.0,,,
37,10.277777777777777,1.4555787301918577,,,,,,,False,,,,10.0,,,
38,10.555555555555555,1.3799773418508678,,,,,,,False,,,,10.0,,,
39,10.833333333333334,1.310116555971501,,,,,,,False,,,,10.0,,,
40,11.11111111111111,1.245429551020408,,,,,,,False,,,,10.0,,,
41,11.38888888888889,1.185417776105088,,,,,,,False,,,,10.0,,,
42,11.666666666666666,1.1296413161182843,,,,,,,False,,,,10.0,,,
43,11.944444444444445,1.0777108067239876,,,,,,,False,,,,10.0,,,
44,12.222222222222221,1.0292806206780232,,,,,,,False,,,,10.0,,,
45,12.5,0.9840431020408164,,,,,,,False,,,,10.0,,,
46,12.777777777777777,0.9417236680683616,,,,,,,False,,,,10.0,,,
47,13.055555555555555,0.9020766326992546,,,,,,,False,,,,10.0,,,
48,13.333333333333332,0.8648816326530614,,,,,,,False,,,,10.0,,,
49,13.61111111111111,0.8299405587807801,,,,,,,False,,,,10.0,,,
50,13.88888888888889,0.7970749126530611,,,,,,,False,,,,10.0,,,
51,14.166666666666666,0.7661235223501165,,,,,,,False,,,,10.0,,,
52,14.444444444444445,0.7369405627339692,,,,,,,False,,,,10.0,,,
53,14.722222222222221,0.7093938346858858,,,,,,,False,,,,10.0,,,
54,15.0,0.6833632653061225,7.84991805782886,-0.0031729943056856007,0.6833632653061225,0.05409818439240517,0.0,12.63190757658883,True,1.3978886318584383,20.968329477876573,34.622628652840575,10.0,44.622628652840575,133.7294592487019,120.35651332383169
55,15.277777777777777,0.6587395972339349,7.477137579331259,-0.3643359409859811,0.6587395972339349,0.05173945723627518,0.0,12.731861376622334,True,1.3869142521786184,21.18896774161778,34.986943639410164,10.0,44.986943639410164,132.64648623011544,121.59261237760582
56,15.555555555555555,0.6354232403165349,7.124632241795884,-0.7000261229951068,0.6354232403165349,0.04946530844703244,0.0,12.845836006399262,True,1.3746088608949638,21.382804502810547,35.30700433900606,10.0,45.30700433900606,131.70943625735444,122.92880717353081
57,15.833333333333332,0.6133232630448302,6.790939248612995,-1.0126995029299142,0.6133232630448302,0.047274271062041476,0.0,12.973722265117981,True,1.36105888804761,21.550099060753823,35.58323890320549,10.0,45.58323890320549,130.91127667938414,124.36571284541493
58,16.11111111111111,0.592356504647043,6.474643753509062,-1.3194725273662506,0.592356504647043,0.04522539876296733,0.0,13.097872453301445,True,1.348157883118577,21.72032145024374,35.86430786417955,10.0,45.86430786417955,130.10901674721586,125.77204952230866
59,16.38888888888889,0.5724467916209863,6.174427136424791,-1.6477182113814683,0.5724467916209863,0.04341901276417908,0.0,13.184242459175811,True,1.3393260973982315,21.950066596248796,36.2436600144459,10.0,46.2436600144459,129.04168913394565,126.89099431504656
60,16.666666666666668,0.553524244897959,5.889350434365768,-1.9753001550697702,0.553524244897959,0.041754386495677635,0.0,13.256672923580357,True,1.3320084233647167,22.200140389411946,36.65657855836854,10.0,46.65657855836854,127.89964854655354,127.89964854655354
61,16.944444444444443,0.5355246658512909,5.618813562083657,-2.3103724974640723,0.5355246658512909,0.040300353137404,0.0,13.28833680502551,True,1.3288344703395787,22.51636185853175,37.17871927105346,10.0,47.17871927105346,126.48414565295924,128.59221474717523
62,17.22222222222222,0.5183889910594831,5.362362904565706,-2.6630579350100585,0.5183889910594831,0.03914025638223667,0.0,13.244394364640586,True,1.333243296284102,22.96141232489287,37.91358072221733,10.0,47.91358072221733,124.54422963285148,128.69570395394652
63,17.5,0.5020628071636818,5.117909335453943,-3.006434496938932,0.5020628071636818,0.038011584823242,0.0,13.20815244874236,True,1.336901589266661,23.395777812166568,38.630799277055225,10.0,48.630799277055225,122.70742181314496,128.8427929038022
64,17.77777777777778,0.48649591836734685,4.884714371158172,-3.340739200920358,0.48649591836734685,0.0369134716324963,0.0,13.179359644381602,True,1.3398223036980141,23.819063176853586,39.329722479840804,10.0,49.329722479840804,120.96885407045694,129.03344434182074
65,18.055555555555554,0.47164196014974047,4.662095632021908,-3.666207346032701,0.47164196014974047,0.03584506408404569,0.0,13.157793749339787,True,1.3420183000577903,24.230885973265657,40.00971884130553,10.0,50.00971884130553,119.32400617840027,129.2676733599336
66,18.333333333333332,0.45745805363467706,4.449421792683094,-3.983071938613617,0.45745805363467706,0.034805524600392324,0.0,13.143259838397054,True,1.3435023135138415,24.63087574775376,40.67017667327762,10.0,50.67017667327762,117.76868350938788,129.54555186032667
67,18.61111111111111,0.44390449579698216,4.246108055704106,-4.29156319740009,0.44390449579698216,0.033794031627649046,0.0,13.135588576350733,True,1.3442869268752375,25.018673361289142,41.310502970136874,10.0,51.310502970136874,116.29899639598257,129.86721264218053
68,18.88888888888889,0.4309444813219405,4.05164106067051,-4.590566973589896,0.4309444813219405,0.03281573991143497,0.0,13.132249417047994,True,1.3446287409890936,25.398542885349546,41.93773851038109,10.0,51.93773851038109,114.89449042544028,130.21375581549898
69,19.166666666666668,0.41854385247482734,3.867300515294701,-4.797570786051966,0.41854385247482734,0.03223657447139188,0.0,12.983508928538953,True,1.3600329538947737,26.067298282983167,43.04197858903309,10.0,53.04197858903309,112.50259056576382,129.3779791506284
70,19.444444444444443,0.40667087380258227,3.690897047645588,-4.992286026331028,0.40667087380258227,0.03170161480812118,0.0,12.828080722828137,True,1.3765114502730569,26.765500421976103,44.19484073804104,10.0,54.19484073804104,110.10937422704384,128.4609365982178
71,19.72222222222222,0.39529602888963566,3.5191596679746238,-5.395716560626891,0.39529602888963566,0.031628278373996045,0.0,12.498183562676553,True,1.412845307595918,27.864449122030603,46.009410315014414,10.0,56.009410315014414,106.5420965233825,126.07481421933595
