V_kmh,V_ms,CL_required,alpha_trim_deg,delta_e_trim_deg,CL_trim,CD_trim,CM_trim,L_D_trim,trim_valid,drag_N,shaft_power_W,electrical_power_W,aux_power_W,total_power_W,endurance_min,range_km
30,8.333333333333334,2.214096979591836,,,,,,,False,,,,10.0,,,
31,8.61111111111111,2.0735559642379324,,,,,,,False,,,,10.0,,,
32,8.88888888888889,1.9459836734693874,,,,,,,False,,,,10.0,,,
33,9.166666666666666,1.8298322145387083,,,,,,,False,,,,10.0,,,
34,9.444444444444445,1.723777925287762,,,,,,,False,,,,10.0,,,
35,9.722222222222221,1.626683495210329,,,,,,,False,,,,10.0,,,
36,10.0,1.5375673469387754,,,,,,,False,,,,10.0,,,
37,10.277777777777777,1.4555787301918577,,,,,,,False,,,,10.0,,,
38,10.555555555555555,1.3799773418508678,,,,,,,False,,,,10.0,,,
39,10.833333333333334,1.310116555971501,,,,,,,False,,,,10.0,,,
40,11.11111111111111,1.245429551020408,,,,,,,False,,,,10.0,,,
41,11.38888888888889,1.185417776105088,,,,,,,False,,,,10.0,,,
42,11.666666666666666,1.1296413161182843,,,,,,,False,,,,10.0,,,
43,11.944444444444445,1.0777108067239876,,,,,,,False,,,,10.0,,,
44,12.222222222222221,1.0292806206780232,6.865308877684683,12.554908720045834,1.0292806206780232,0.11564640227917412,0.0,8.900239007810262,True,1.9839916641007622,24.248787005675982,40.03927678955787,10.0,50.03927678955787,119.25352209017662,87.45258286612952
45,12.5,0.9840431020408164,6.160208609077296,11.690921243946988,0.9840431020408164,0.10846018446544922,0.0,9.072851082549011,True,1.9462459858912398,24.328074823640495,40.17019578722889,10.0,50.17019578722889,118.94233032909604,89.20674774682203
46,12.777777777777777,0.9417236680683616,5.499456607660151,10.7173649032878,0.9417236680683616,0.10168562973990813,0.0,9.261128347015264,True,1.9066791149364575,24.363122024188065,40.22806526181724,10.0,50.22806526181724,118.80529279586476,91.08405781016297
47,13.055555555555555,0.9020766326992546,4.878875878065279,9.591100531001926,0.9020766326992546,0.09534034597249745,0.0,9.461646310361346,True,1.866271409940881,24.36521007422817,40.23151302246138,10.0,50.23151302246138,118.79713830900641,93.05775834205502
48,13.333333333333332,0.8648816326530614,4.294949282378381,8.295624870163863,0.8648816326530614,0.08935655836572226,0.0,9.678994451792086,True,1.824363066633496,24.324840888446612,40.1648559561554,10.0,50.1648559561554,118.95499122364738,95.1639929789179
49,13.61111111111111,0.8299405587807801,3.767857659875443,8.896505971690216,0.8299405587807801,0.08529740717187935,0.0,9.729962331778744,True,1.8148066146492394,24.701534477170203,40.78684743392397,10.0,50.78684743392397,117.4981378350726,95.95681256530929
50,13.88888888888889,0.7970749126530611,3.271299028175406,9.41961401336505,0.7970749126530611,0.08147119850895068,0.0,9.783517700006486,True,1.804872290463408,25.06767070088067,41.39140673004032,10.0,51.39140673004032,116.11591080482803,96.76325900402337
51,14.166666666666666,0.7661235223501165,2.803390668757728,9.895891495495663,0.7661235223501165,0.07792898298568403,0.0,9.83104735873247,True,1.7961463672855982,25.445406869879307,42.01511970258709,10.0,52.01511970258709,114.72356565014692,97.51503080262488
52,14.444444444444445,0.7369405627339692,2.3635596058870023,10.339067965052564,0.7369405627339692,0.07493325821416247,0.0,9.834625909736388,True,1.7954927988179383,25.934895982925777,42.82335766014577,10.0,52.82335766014577,112.96820695103716,97.90577935756554
53,14.722222222222221,0.7093938346858858,1.9477573824782926,10.591485228267876,0.7093938346858858,0.07215875193845746,0.0,9.831015859183811,True,1.7961521223164827,26.443350689659326,43.662911355474634,10.0,53.662911355474634,111.20082472736017,98.22739517583481
54,15.0,0.6833632653061225,1.5547029893077617,10.832680334544387,0.6833632653061225,0.06955019534334117,0.0,9.82546866953622,True,1.7971661804539134,26.9574927068087,44.51185586263563,10.0,54.51185586263563,109.46903027915883,98.52212725124294
55,15.277777777777777,0.6587395972339349,1.1827672203652408,11.063267138639628,0.6587395972339349,0.06709466373593305,0.0,9.818062429324645,True,1.798521869983123,27.477417458075486,45.370348743984295,10.0,55.370348743984295,107.77176115670255,98.79078106031066
56,15.555555555555555,0.6354232403165349,0.8300644204842799,11.089101392244952,0.6354232403165349,0.06469335111450474,0.0,9.822079539392854,True,1.7977862965963642,27.96556461372122,46.17637087920945,10.0,56.17637087920945,106.22544508670791,99.14374874759406
57,15.833333333333332,0.6133232630448302,0.4943268954664261,10.798551847126038,0.6133232630448302,0.06243985665635282,0.0,9.822624456368429,True,1.797686563141642,28.463370583076,46.998341520042935,10.0,56.998341520042935,104.69357249458977,99.45889386986029
58,16.11111111111111,0.592356504647043,0.174513965569819,10.26262192918523,0.592356504647043,0.060364953337783675,0.0,9.812920774284354,True,1.7994642376278414,28.991368272893,47.870164330886276,10.0,57.870164330886276,103.11634793155618,99.67913633383765
59,16.38888888888889,0.5724467916209863,-0.12915496196816564,9.73486395800224,0.5724467916209863,0.05840282476915215,0.0,9.801696987837266,True,1.8015247790164772,29.524989433881156,48.75127254304422,10.0,58.75127254304422,101.56988507147662,99.87705365361869
60,16.666666666666668,0.553524244897959,-0.41774776644173456,9.215318501081274,0.553524244897959,0.05654576394293704,0.0,9.788960415435294,True,1.8038687716171329,30.064479526952216,49.642071458331834,10.0,59.642071458331834,100.05286292192282,100.05286292192282
61,16.944444444444443,0.5355246658512909,-0.6922455060843615,8.704010373154182,0.5355246658512909,0.0547866957489462,0.0,9.774721007181594,True,1.806496572846067,30.610080817669463,50.542961102447,10.0,60.542961102447,98.56405916292083,100.20679348230284
62,17.22222222222222,0.5183889910594831,-0.9535507512086441,8.200949804988891,0.5183889910594831,0.05311911647043585,0.0,9.758991216429576,True,1.80940833006102,31.162032351050897,51.454336183365776,10.0,61.454336183365776,97.1023424969518,100.3390872468502
63,17.5,0.5020628071636818,-1.2024853810817646,7.706260780557703,0.5020628071636818,0.051543393403951136,0.0,9.740585048969542,True,1.812827454534473,31.724480454353277,52.38304306188364,10.0,62.38304306188364,95.65676355480788,100.43960173254827
64,17.77777777777778,0.48649591836734685,-1.4397066406083914,7.221408357988409,0.48649591836734685,0.05012654367382242,0.0,9.705355340935059,True,1.8194078814942956,32.34502900434303,53.407684630494174,10.0,63.407684630494174,94.11099040714954,100.38505643429285
