beta,Mach,alpha,Re_1e6,CLo,CLi,CLtot,CDo,CDi,CDtot,CSo,CSi,CStot,L/D,E,CMox,CMoy,CMoz,CMix,CMiy,CMiz,CMxtot,CMytot,CMztot,CFox,CFoy,CFoz,CFix,CFiy,CFiz,CFxtot,CFytot,CFztot,CLwtot,CDwtot,CSwtot,CLiw,CDiw,CSiw,CFwxtot,CFwytot,CFwztot,CFiwx,CFiwy,CFiwz,LoDw,Ew,StallFactor,sref_m2,cref_m,bref_m,cg_x_m,cg_y_m,cg_z_m,mach,alpha_deg,beta_deg,re_cref,vinf_mps,rho,analysis_tag,delta_e_deg,aileron_e_deg,alpha_commanded,beta_commanded,xcg,ycg,zcg,mach_commanded,l2_residual
0.0,0.05,-6.0,0.2,0.001297914187,-0.062552321784,-0.061254407597,0.014924747216,0.004632116273,0.019556863489,7.0391e-08,-9.1340385e-05,-9.1269993e-05,-3.132118175876,0.036651094138,-1.073e-08,0.000407271574,-1.2129e-08,3.2862898e-05,-0.155317610848,-3.2782921e-05,3.2852169e-05,-0.154910339274,-3.279505e-05,0.014978656865,7.0391e-08,-0.000269256814,-0.001931757015,-9.1340385e-05,-0.062693841616,0.01304689985,-9.1269993e-05,-0.06296309843,-0.053041797914,0.018801231638,-0.000106425389,-0.054339712102,0.003876484422,-0.000106495781,0.013153858899,-0.000106425389,-0.054716493246,-0.001824797966,-0.000106495781,-0.054447236432,-2.821187406028,0.043795385485,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,-6,0,0.032,0.0,0.007,0.05,7.630424976349
0.0,0.05,-4.0,0.2,0.000765913195,0.092048677226,0.092814590421,0.014918137711,0.006033325374,0.020951463084,7.5846e-08,-0.000143287858,-0.000143212012,4.429981335745,0.064605198631,-1.2573e-08,0.000432542382,-6.8284e-08,2.9052492e-05,-0.174839377928,-4.5394617e-05,2.9039919e-05,-0.174406835546,-4.54629e-05,0.014935225281,7.5846e-08,-0.000276589213,0.012439619632,-0.000143287858,0.091403587771,0.027374844913,-0.000143212012,0.091126998559,0.101862251017,0.018775202377,-9.6511755e-05,0.101096337822,0.003857064666,-9.6587601e-05,0.025835018367,-9.6511755e-05,0.100304427781,0.010899793086,-9.6587601e-05,0.100581016994,5.425361014485,0.101057207455,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-4.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,-4,0,0.032,0.0,0.007,0.05,7.955013990402
0.0,0.05,-2.0,0.2,0.000245031341,0.245264272726,0.245509304067,0.015221485307,0.009637035144,0.024858520451,9.2432e-08,-0.000182877076,-0.000182784644,9.876263736201,0.282998527575,-1.6265e-08,0.000451097903,-1.36299e-07,3.2842502e-05,-0.191375108394,-5.4496873e-05,3.2826237e-05,-0.190924010491,-5.4633173e-05,0.01522076426,9.2432e-08,-0.000286340102,0.0181907642,-0.000182877076,0.244778536682,0.03341152846,-0.000182784644,0.24449219658,0.257150198406,0.018040374405,-9.8262611e-05,0.256905167065,0.002818889098,-9.8355043e-05,0.027003797198,-9.8262611e-05,0.256363949466,0.011783032938,-9.8355043e-05,0.256650289568,14.254149754998,0.96749700369,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-2.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,-2,0,0.032,0.0,0.007,0.05,7.845896959305
0.0,0.05,0.0,0.2,-0.00029862514,0.399654809131,0.399356183992,0.015833935965,0.016806779146,0.032640715111,1.0594e-07,-0.000157167852,-0.000157061912,12.234909150599,0.4293663871,-1.7431e-08,0.000463019981,-1.83607e-07,3.0784328e-05,-0.210081649015,-4.1460936e-05,3.0766898e-05,-0.209618629034,-4.1644542e-05,0.015833935965,1.0594e-07,-0.00029862514,0.016806779146,-0.000157167852,0.399654809131,0.032640715111,-0.000157061912,0.399356183992,0.411678960313,0.018262679001,-7.8278188e-05,0.411977585452,0.002428743036,-7.8384128e-05,0.018262679001,-7.8278188e-05,0.411678960313,0.002428743036,-7.8384128e-05,0.411977585452,22.542090363014,2.971193713946,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,0.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,0,0,0.032,0.0,0.007,0.05,8.522081136703
0.0,0.05,2.0,0.2,-0.000898843537,0.551947629072,0.551048785535,0.016756393149,0.025545202625,0.042301595774,1.41768e-07,-0.000230453711,-0.000230311943,13.026666617428,0.537851588358,-2.3396e-08,0.000468606389,-2.75651e-07,3.4670369e-05,-0.225175993971,-5.6498591e-05,3.4646974e-05,-0.224707387582,-5.6774242e-05,0.016777554794,1.41768e-07,-0.000313506299,0.006266946717,-0.000230453711,0.552502912205,0.023044501511,-0.000230311943,0.552189405906,0.567983642043,0.014651015285,-8.4183457e-05,0.568882485581,-0.002105377864,-8.4325224e-05,-0.00518025296,-8.4183457e-05,0.568148954815,-0.021957807754,-8.4325224e-05,0.568462461113,38.767527778969,-6.525920140791,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,2.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,2,0,0.032,0.0,0.007,0.05,8.042704105377
0.0,0.05,4.0,0.2,-0.00158796614,0.70532732365,0.703739357509,0.017972151598,0.038144485357,0.056116636955,1.15554e-07,-0.000209686498,-0.000209570944,12.540654531241,0.58746720684,-2.4131e-08,0.000466529968,-3.18222e-07,2.8951007e-05,-0.243052023026,-4.3025218e-05,2.8926876e-05,-0.242585493058,-4.334344e-05,0.018039143258,1.15554e-07,-0.000330424013,-0.011149579625,-0.000209686498,0.70627000653,0.006889563633,-0.000209570944,0.705939582517,0.723216309651,0.014157865795,-7.7138732e-05,0.724804275791,-0.003814285803,-7.7254286e-05,-0.03632564157,-7.7138732e-05,0.722442193863,-0.054364784828,-7.7254286e-05,0.722772617876,51.082297297377,-5.874922706237,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,4.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,4,0,0.032,0.0,0.007,0.05,8.305243015289
0.0,0.05,6.0,0.2,-0.002399906161,0.852670649281,0.85027074312,0.019487097855,0.051184516026,0.07067161388,1.7366e-07,-0.000242361786,-0.000242188126,12.031290873892,0.639098176658,-3.2148e-08,0.000457999143,-4.89031e-07,3.8316312e-05,-0.251102844136,-4.2142928e-05,3.8284164e-05,-0.250644844993,-4.2631959e-05,0.019631203997,1.7366e-07,-0.000349802831,-0.038224230752,-0.000242361786,0.853349869051,-0.018593026755,-0.000242188126,0.85300006622,0.882546222923,0.002704465954,-5.7426664e-05,0.884946129083,-0.016782631901,-5.7600323e-05,-0.089561549838,-5.7426664e-05,0.877994236041,-0.109192753835,-5.7600323e-05,0.878344038873,326.329204351201,-1.949153807253,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,6,0,0.032,0.0,0.007,0.05,7.680511951447
0.0,0.05,8.0,0.2,-0.00336834981,0.99234753925,0.98897918944,0.021298433258,0.066558125262,0.08785655852,2.08923e-07,-0.000309335269,-0.000309126346,11.25674856949,0.664913167675,-4.5108e-08,0.000442100358,-3.62095e-07,1.845893e-05,-0.247294707113,-5.5422319e-05,1.8413822e-05,-0.246852606756,-5.5784414e-05,0.021559942058,2.08923e-07,-0.00037140026,-0.072197698105,-0.000309335269,0.991953181901,-0.050637756047,-0.000309126346,0.991581781641,1.050801740826,-0.03342867415,0.000850301214,1.054170090637,-0.054727107408,0.00085009229,-0.179346685357,0.000850301214,1.035923038276,-0.200906627414,0.00085009229,1.036294438536,-31.434143516935,-0.808655454277,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-20,0,8,0,0.032,0.0,0.007,0.05,7.47745513916
0.0,0.05,-8.0,0.2,0.001979848139,-0.279519604049,-0.277539755911,0.015012381756,0.00500465919,0.020017040945,3.32e-10,1.7239164e-05,1.7239496e-05,-13.865174011971,0.696414178161,-3.7e-11,0.000149138122,1.2637e-08,8.338525e-06,-0.058918976804,3.282827e-06,8.338487e-06,-0.058769838682,3.295464e-06,0.015141823893,3.32e-10,-0.000128739329,-0.033945655884,1.7239164e-05,-0.277495852416,-0.018803831991,1.7239496e-05,-0.277624591745,-0.277609210673,0.013445736104,-3.7007296e-05,-0.279589058812,-0.001566645652,-3.7007628e-05,-0.02532085158,-3.7007296e-05,-0.276778821707,-0.040462675474,-3.7007628e-05,-0.276650082378,-20.646635374329,-2.22469938381,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-8.0,0.0,200000.0,16.6,1.225,alpha_elevator,-10,0,-8,0,0.032,0.0,0.007,0.05,8.366634130478
0.0,0.05,-6.0,0.2,0.001408854203,-0.126174442808,-0.124765588605,0.014614336977,0.00162142832,0.016235765296,1.479e-09,-2.9474117e-05,-2.9472638e-05,-7.684613957369,0.434393775723,-2.83e-10,0.000163488512,4.126e-09,8.225956e-06,-0.077166338125,-1.1545382e-05,8.225673e-06,-0.077002849613,-1.1541256e-05,0.014681543475,1.479e-09,-0.000126477833,-0.011576274645,-2.9474117e-05,-0.125652731419,0.00310526883,-2.9472638e-05,-0.125779209252,-0.122863065588,0.014395714944,-3.3802627e-05,-0.124271919791,-0.000218622033,-3.3804106e-05,0.001474166273,-3.3802627e-05,-0.12369477082,-0.013207377201,-3.3804106e-05,-0.123568292986,-8.534697030736,-3.221717229157,1.0,0.20469346733668342,0.22670608100167833,1.2000000000000002,0.032,0.0,0.007,0.05,-6.0,0.0,200000.0,16.6,1.225,alpha_elevator,-10,0,-6,0,0.032,0.0,0.007,0.05,8.803233861923
